N,perturbation_type,lambda_base,lambda_mult,p_const,lambda_actual,lambda_rounded,TP_mean,FP_mean,FN_mean,TN_mean,recall_mean,precision_mean,f1_mean,mcc_mean,n_predicted_mean,n_true_mean,runtime_mean,TP_sd,FP_sd,FN_sd,TN_sd,recall_sd,precision_sd,f1_sd,mcc_sd,n_predicted_sd,runtime_sd,n_runs,predicted_ratio,tp_fn_tradeoff
50,lambda_double,0.147423700392246,4,NA,0.5544964903714114,0.554,48.74,0,48.26,1128,0.5024742268041238,1,0.6675384977776903,0.6934604952476979,48.74,97,11.051703162193302,4.685235167142475,0,4.685235167142475,0,0.04830139347569556,0,0.04207849286023407,0.034403316723735665,4.685235167142475,2.7667579801547446,50,0.5024742268041237,0.480000000000004
50,lambda_double,0.147423700392246,5,NA,0.47849070098255747,0.478,45.56,0,51.44,1128,0.46969072164948455,1,0.6385196075673413,0.6698678449912975,45.56,97,10.66037973403931,3.1503806054481216,0,3.1503806054481216,0,0.032478150571630005,0,0.030027547403398632,0.02405842589605112,3.1503806054481216,2.3026062275122308,50,0.46969072164948455,-5.8799999999999955
50,lambda_double,0.147423700392246,6,NA,0.41290315611091116,0.413,45.58,0,51.42,1128,0.46989690721649485,1,0.63860849074845,0.6699650246821056,45.58,97,10.940630750656126,3.393210507914357,0,3.393210507914357,0,0.03498155162798303,0,0.032252436867730036,0.025860612523699096,3.393210507914357,2.944997800656916,50,0.46989690721649485,-5.840000000000003
50,lambda_double,0.147423700392246,7,NA,0.35630580902880776,0.356,46.52,0,50.48,1128,0.4795876288659794,1,0.6472441553084901,0.6769720566017614,46.52,97,10.317677721977235,4.041822179489375,0,4.041822179489375,0,0.04166826989164303,0,0.0372737409344445,0.030189412427150585,4.041822179489375,2.762143832865452,50,0.4795876288659794,-3.9599999999999937
50,lambda_double,0.147423700392246,8,NA,0.3074663578342127,0.307,46.1,0,50.9,1128,0.47525773195876286,1,0.643214588561973,0.6737475756338764,46.1,97,10.792642197608943,4.131758532565592,0,4.131758532565592,0,0.04259544878933594,0,0.03855301712222695,0.031103374816285365,4.131758532565592,2.7293892844937355,50,0.4752577319587629,-4.799999999999997
50,lambda_double,0.147423700392246,9,NA,0.2653214143701846,0.265,46.76,0,50.24,1128,0.4820618556701031,1,0.6491478510546624,0.6786139365852919,46.76,97,11.012618675231936,4.808835405707256,0,4.808835405707256,0,0.049575622739250015,0,0.042229673307527,0.03483516504129167,4.808835405707256,2.111072492161475,50,0.48206185567010307,-3.480000000000004
50,lambda_double,0.147423700392246,10,NA,0.2289533509267792,0.229,45.96,0,51.04,1128,0.4738144329896908,1,0.6416640627443503,0.6725728871427666,45.96,97,10.677719249725342,4.611255086133032,0,4.611255086133032,0,0.04753871222817559,0,0.04161256075704799,0.03397781601718782,4.611255086133032,2.692734690324725,50,0.4738144329896907,-5.079999999999998
50,lambda_double,0.147423700392246,13,NA,0.1471197930886463,0.147,46.48,0,50.52,1128,0.4791752577319587,1,0.6465436976623653,0.6764989974264572,46.48,97,11.735105834007257,4.665286482005545,0,4.665286482005545,0,0.048095736927892194,0,0.042456621172366045,0.034551683669666676,4.665286482005545,2.701955780550944,50,0.47917525773195874,-4.040000000000006
50,lambda_double,0.147423700392246,15,NA,0.10955204937726006,0.11,46.76,0,50.24,1128,0.48206185567010307,1,0.6491276055699514,0.6785944970649357,46.76,97,11.327244100570686,4.7790358518711065,0,4.7790358518711065,0,0.049268410844032044,0,0.04306354820236484,0.03517268993833585,4.7790358518711065,2.7854795370438032,50,0.48206185567010307,-3.480000000000004
50,lambda_double,0.147423700392246,20,NA,0.05241963690060091,0.052,46.48,0,50.52,1128,0.4791752577319587,1,0.6465436976623653,0.6764989974264572,46.48,97,11.556606583595283,4.665286482005545,0,4.665286482005545,0,0.048095736927892194,0,0.042456621172366045,0.034551683669666676,4.665286482005545,2.363542113583755,50,0.47917525773195874,-4.040000000000006
50,lambda_double,0.147423700392246,30,NA,0.012001651522757626,0.012,45.6,0,51.4,1128,0.4701030927835052,1,0.6386662930217526,0.6700469014301531,45.6,97,11.028735346794125,3.697765458727081,0,3.697765458727081,0,0.03812129338893892,0,0.03483775100794341,0.02801276718178089,3.697765458727081,2.764308168591174,50,0.47010309278350515,-5.799999999999997
50,lambda_half,0.147423700392246,0.01,NA,0.9985268491496346,0.999,89.06,0,7.94,1128,0.9181443298969072,1,0.9572842393023913,0.9548267653382172,89.06,97,12.025650453567508,1.185111722968922,0,1.185111722968922,0,0.012217646628545586,0,0.00662526350172235,0.006844477463311386,1.185111722968922,2.6482778981122754,50,0.9181443298969072,81.12
50,lambda_half,0.147423700392246,0.1,NA,0.985365766648744,0.985,87.98,0,9.02,1128,0.9070103092783504,1,0.9512017625376463,0.9485708026284075,87.98,97,10.659095659255982,1.0971205354872158,0,1.0971205354872158,0,0.011310520984404373,0,0.006229814253254762,0.006376101849913495,1.0971205354872158,2.478204950920488,50,0.9070103092783506,78.96000000000001
50,lambda_half,0.147423700392246,0.111,NA,0.9837691326547965,0.984,88.06,0,8.94,1128,0.9078350515463918,1,0.9516334175472552,0.9490264065156995,88.06,97,11.506246809959418,1.3910794516548386,0,1.3910794516548386,0,0.014341025274792217,0,0.007863703855711739,0.00806989932337956,1.3910794516548386,2.437861157209574,50,0.9078350515463918,79.12
50,lambda_half,0.147423700392246,0.125,NA,0.9817407941488556,0.982,88.06,0,8.94,1128,0.9078350515463917,1,0.9516191924396962,0.9490205625114968,88.06,97,11.097900161743166,1.5572083865634918,0,1.5572083865634918,0,0.016053694706840205,0,0.008750260944240045,0.009011932850487162,1.5572083865634918,2.5346668060428383,50,0.9078350515463918,79.12
50,lambda_half,0.147423700392246,0.143,NA,0.979139074179651,0.979,88.04,0,8.96,1128,0.9076288659793813,1,0.9515112060862617,0.9489066265938808,88.04,97,10.940070915222165,1.497753419666418,0,1.497753419666418,0,0.015440756903777553,0,0.00842561490345918,0.008671769027725198,1.497753419666418,3.345448439386305,50,0.9076288659793815,79.08000000000001
50,lambda_half,0.147423700392246,0.167,NA,0.9756808363695894,0.976,87.48,0,9.52,1128,0.9018556701030926,1,0.9483358772185279,0.9456538852848357,87.48,97,11.746928830146794,1.4032033323209914,0,1.4032033323209914,0,0.014466013735268044,0,0.007997544444855903,0.008167254473950027,1.4032033323209914,2.148299806226861,50,0.9018556701030929,77.96000000000001
50,lambda_half,0.147423700392246,0.2,NA,0.9709456940832669,0.971,87.08,0,9.92,1128,0.8977319587628865,1,0.9460258999475519,0.943313160339917,87.08,97,11.401831755638124,1.6640251175498326,0,1.6640251175498326,0,0.017154898119070474,0,0.009537323621548719,0.009707429034234607,1.6640251175498326,2.6570546588881077,50,0.8977319587628866,77.16
50,lambda_half,0.147423700392246,0.25,NA,0.9638149868960256,0.964,86.12,0,10.88,1128,0.8878350515463915,1,0.9404986214158443,0.9377023090049371,86.12,97,11.117189397811888,1.6738078303859212,0,1.6738078303859212,0,0.017255750828720905,0,0.009689202082083005,0.009804287507479626,1.6738078303859212,2.328426924123748,50,0.8878350515463918,75.24000000000001
50,lambda_half,0.147423700392246,0.33,NA,0.9525146217986057,0.953,84.34,0,12.66,1128,0.8694845360824741,1,0.9300689354712389,0.9272233589760065,84.34,97,11.802087039947505,1.923113971385673,0,1.923113971385673,0,0.0198259172307801,0,0.011302227350112291,0.011335475400973849,1.923113971385673,2.505790495305785,50,0.8694845360824742,71.68
50,lambda_half,0.147423700392246,0.5,NA,0.9289393289653861,0.929,71.78,0.7,25.22,1127.3,0.7399999999999998,0.990666492232447,0.8465140217762019,0.8460507159983705,72.48,97,11.89401776313782,3.7919894084068044,1.0151907431108496,3.7919894084068044,1.0151907431108496,0.03909267431347226,0.013164683399039126,0.02512552881621456,0.023292067932649384,4.161240003574288,2.5468884485657606,50,0.7472164948453609,46.56
50,lambda_half,0.147423700392246,0.6,NA,0.9153450140561474,0.915,50.88,2.4,46.12,1125.6,0.5245360824742269,0.95699285588884,0.6754695412267779,0.691261933003754,53.28,97,12.483627872467048,5.45721765094594,2.2038926600773587,5.45721765094594,2.2038926600773587,0.05625997578294772,0.03735585444973721,0.04709708516253607,0.03997274610438809,6.353658756325896,2.550671241472779,50,0.5492783505154639,4.760000000000005
50,lambda_half,0.147423700392246,0.65,NA,0.9086226429592775,0.909,35.36,2.94,61.64,1125.06,0.3645360824742268,0.9277547177008278,0.5205182831268644,0.5612150097515634,38.3,97,12.40472475051879,5.181442553843042,2.436206485669129,5.181442553843042,2.436206485669129,0.053416933544773726,0.05217673064898237,0.05388096419107967,0.04305318427322807,6.434124585650597,2.650602713000892,50,0.39484536082474225,-26.28
