N,perturbation_type,lambda_base,lambda_mult,p_const,lambda_actual,lambda_rounded,TP_mean,FP_mean,FN_mean,TN_mean,recall_mean,precision_mean,f1_mean,mcc_mean,n_predicted_mean,n_true_mean,runtime_mean,TP_sd,FP_sd,FN_sd,TN_sd,recall_sd,precision_sd,f1_sd,mcc_sd,n_predicted_sd,runtime_sd,n_runs,predicted_ratio,tp_fn_tradeoff
20,lambda_double,0.339363564550877,4,NA,0.25731500141091446,0.257,21.84,0.02,15.16,152.98,0.5902702702702707,0.9993333333333333,0.7394505962568018,0.7315292751220456,21.86,37,2.0196977424621583,2.787435365773949,0.1414213562373095,2.787435365773949,0.1414213562373095,0.07533609096686344,0.004714045207910269,0.056338823891860616,0.05108350058555742,2.8428930363850364,0.686646541310383,50,0.5908108108108108,6.68
20,lambda_half,0.339363564550877,0.25,NA,0.9186584394729946,0.919,35.06,0,1.94,153,0.9475675675675677,1,0.9729406852071331,0.9672907047316189,35.06,37,1.9641083145141602,0.8429781995389675,0,0.8429781995389675,0,0.022783194582134243,0,0.011978540580567729,0.014255002469707944,0.8429781995389675,0.6980444430509855,50,0.9475675675675677,33.120000000000005
20,lambda_half,0.339363564550877,0.33,NA,0.8940532191750958,0.894,34.5,0.02,2.5,152.98,0.9324324324324325,0.9994285714285714,0.9645658670439684,0.9574444250352934,34.52,37,2.4772959470748894,1.0151907431108496,0.1414213562373095,1.0151907431108496,0.1414213562373095,0.027437587651644578,0.004040610178208907,0.014846327510373082,0.017545707524181442,1.014989695333235,0.7347087561489214,50,0.9329729729729731,32
20,lambda_half,0.339363564550877,0.5,NA,0.8439333284149577,0.844,30.78,0.44,6.22,152.56,0.831891891891892,0.9869112006483922,0.9015617107088051,0.8860720788669256,31.22,37,2.261429719924927,1.9824742322745719,0.8121525944886797,1.9824742322745719,0.8121525944886797,0.05358038465606945,0.024176681994541923,0.030960163901815843,0.03359783541626256,2.3412015055940656,0.6840522958806075,50,0.8437837837837837,24.560000000000002
30,const_high,0.236544761955738,NA,0.85,0.85,0.85,50.42,0.14,6.58,377.86,0.8845614035087719,0.9974463129463129,0.9374361093410848,0.930957471128847,50.56,57,4.070982990264893,1.0896545043157075,0.5349041493385445,1.0896545043157075,0.5349041493385445,0.01911674568974924,0.00966680005692725,0.008983285315776966,0.009455393336383518,1.4591023239775662,1.134020626934632,50,0.8870175438596491,43.84
30,const_high,0.236544761955738,NA,0.9,0.9,0.9,51.7,0,5.3,378,0.9070175438596492,1,0.9511737402247559,0.9457444402792867,51.7,57,4.280661330223084,0.8864052604279183,0,0.8864052604279183,0,0.01555096948119171,0,0.008535776687225072,0.009195834783688007,0.8864052604279183,1.355435481528105,50,0.9070175438596492,46.400000000000006
30,const_high,0.236544761955738,NA,0.95,0.95,0.95,52.82,0,4.18,378,0.9266666666666669,1,0.9618634345367721,0.9573318972264141,52.82,57,3.9007537317275998,0.9409070742900063,0,0.9409070742900063,0,0.01650714165421069,0,0.008847901118092031,0.00969035151113383,0.9409070742900063,1.217072436148056,50,0.9266666666666666,48.64
30,const_low,0.236544761955738,NA,0.01,0.01,0.01,29.98,0.02,27.02,377.98,0.5259649122807017,0.9995121951219512,0.6869859319000233,0.6993567216318408,30,57,4.084339199066163,3.6336859343355137,0.1414213562373095,3.6336859343355137,0.1414213562373095,0.06374887604097389,0.0034493013716416984,0.05337263006167639,0.044585766745509424,3.6922422809485957,1.2991092163272902,50,0.5263157894736842,2.960000000000001
30,const_low,0.236544761955738,NA,0.03,0.03,0.03,26.28,0,30.72,378,0.4610526315789474,1,0.6301327618894467,0.6524907096153258,26.28,57,4.01535397529602,2.294981214631223,0,2.294981214631223,0,0.040262828326863585,0,0.03673430677733514,0.029873389007842043,2.294981214631223,1.2141266841290304,50,0.4610526315789474,-4.439999999999998
30,const_low,0.236544761955738,NA,0.05,0.05,0.05,22.8,0.06,34.2,377.94,0.4,0.9978799489144317,0.5700327234184445,0.6042349558697548,22.86,57,4.1383128213882445,2.0898198340468275,0.31363569143000214,2.0898198340468275,0.31363569143000214,0.036663505860470604,0.010976090760340918,0.03618529079992927,0.027759226038090504,2.2224274281670904,1.2689163443934346,50,0.4010526315789474,-11.400000000000002
30,lambda_double,0.236544761955738,2,NA,0.6230742886333007,0.623,31.38,0.34,25.62,377.66,0.5505263157894736,0.9896206407241088,0.7054227153358034,0.7125157193938401,31.72,57,4.093347716331483,3.527674842714159,0.5573259772323188,3.527674842714159,0.5573259772323188,0.061889032328318515,0.017062820861814692,0.05074179354192372,0.04356327252819228,3.631157683501087,1.242212294655558,50,0.5564912280701754,5.759999999999998
30,lambda_double,0.236544761955738,3,NA,0.49182403157421284,0.492,33,0.08,24,377.92,0.5789473684210527,0.998357843137255,0.7304650244339008,0.7360110968015722,33.08,57,3.8457792568206783,3.927922024247863,0.44446711960297275,3.927922024247863,0.44446711960297275,0.06891091270610275,0.009209448956905075,0.04929164990346874,0.04316700183465252,4.217746762799071,1.2164456466969122,50,0.5803508771929824,9
