"replicate","n_permutations","global_p_value","global_reject","n_selected","elapsed_seconds"
54,199,0.005,TRUE,1,0.0109999999999957
54,999,0.001,TRUE,1,0.01400000000001
54,4999,2e-04,TRUE,1,0.025999999999982
55,99,0.01,TRUE,1,0.0120000000000005
55,199,0.005,TRUE,1,0.0120000000000005
55,999,0.001,TRUE,1,0.0149999999999864
55,4999,2e-04,TRUE,1,0.0260000000000105
56,99,0.01,TRUE,1,0.0120000000000005
56,199,0.01,TRUE,1,0.0120000000000005
56,999,0.001,TRUE,1,0.0150000000000148
56,4999,8e-04,TRUE,1,0.0260000000000105
57,99,0.01,TRUE,2,0.0110000000000241
57,199,0.005,TRUE,2,0.0120000000000005
57,999,0.001,TRUE,2,0.0149999999999864
57,4999,2e-04,TRUE,2,0.0289999999999964
58,99,0.01,TRUE,1,0.0130000000000052
58,199,0.005,TRUE,1,0.0129999999999768
58,999,0.001,TRUE,1,0.0169999999999959
58,4999,2e-04,TRUE,1,0.0279999999999916
59,99,0.01,TRUE,1,0.0130000000000052
59,199,0.005,TRUE,1,0.0120000000000005
59,999,0.001,TRUE,1,0.0150000000000148
59,4999,2e-04,TRUE,1,0.0270000000000152
60,99,0.01,TRUE,0,0.0130000000000052
60,199,0.005,TRUE,0,0.0130000000000052
60,999,0.001,TRUE,0,0.0159999999999911
60,4999,2e-04,TRUE,0,0.0599999999999739
61,99,0.01,TRUE,1,0.0130000000000052
61,199,0.005,TRUE,1,0.0120000000000005
61,999,0.001,TRUE,1,0.0149999999999864
61,4999,2e-04,TRUE,1,0.0260000000000105
62,99,0.01,TRUE,2,0.0120000000000005
62,199,0.005,TRUE,2,0.0130000000000052
62,999,0.001,TRUE,2,0.0159999999999911
62,4999,2e-04,TRUE,2,0.0260000000000105
63,99,0.02,TRUE,0,0.0120000000000005
63,199,0.02,TRUE,0,0.0120000000000005
63,999,0.008,TRUE,0,0.0150000000000148
63,4999,0.01,TRUE,0,0.0270000000000152
64,99,0.01,TRUE,3,0.0120000000000005
64,199,0.005,TRUE,3,0.0120000000000005
64,999,0.001,TRUE,3,0.0150000000000148
64,4999,2e-04,TRUE,3,0.0260000000000105
65,99,0.01,TRUE,0,0.0130000000000052
65,199,0.005,TRUE,0,0.0120000000000005
65,999,0.001,TRUE,0,0.0150000000000148
65,4999,2e-04,TRUE,0,0.0260000000000105
66,99,0.01,TRUE,1,0.0120000000000005
66,199,0.005,TRUE,1,0.0120000000000005
66,999,0.002,TRUE,1,0.0149999999999864
66,4999,4e-04,TRUE,1,0.025999999999982
67,99,0.01,TRUE,2,0.0120000000000005
67,199,0.005,TRUE,2,0.0120000000000005
67,999,0.001,TRUE,2,0.0149999999999864
